"source_file","contract_number","contract_id","contract_subject","contract_domain","supplier_name","supplier_id","item_id","item_type","item_description","item_sku","quantity","unit_price","total_price","has_discount","discount_type","discount_value","original_price","discounted_price","is_bundle","bundle_components","is_multi_year","duration_years","total_price_multi_year","annual_rate","classification_label","class_l1","class_l2","class_l3","class_confidence_level","class_final_score","class_method","class_timestamp","class_macro_type"
"01. Batch 1\7010155245\acq_all_oda\7010155245 0000283750 MATICMIND SPA 20190730_v1.pdf","7010155245","701015524501","Servizi di manutenzione TCI Cisco e Imagicle per le sedi del cliente Marzotto SPA","networking","MATICMIND SPA","250387406080783","7010155245010001","SERVICE","COMMERCIALE SERV. SPEC. CISCO IMAGICLE 1Y X MARZOTTO. SERVIZI DI MANUTENZIONE CON SUPPORTO SPECIALISTICO CISCO IMAGICLE PER LE SEDI DEL CLIENTE, COME DETTAGLIATO NELL'OFFERTA SOPRACITATA. (Anno 1)","","1.0","1943.83","1943.83","False","","0.0","0.0","0.0","False","","True","5","9719.16","1943.83","","","","","","","","",""
"01. Batch 1\7010155245\acq_all_oda\7010155245 0000283750 MATICMIND SPA 20190730_v1.pdf","7010155245","701015524501","Servizi di manutenzione TCI Cisco e Imagicle per le sedi del cliente Marzotto SPA","networking","MATICMIND SPA","250387406080783","7010155245010002","SERVICE","COMMERCIALE MANUT. 1° ANNO X RETE CISCO MARZOTTO. SERVIZI DI MANUTENZIONE TCI CISCO 1° ANNO, SUCCESSIVO ALL'ANNO DI GARANZIA, PER LE SEDI DEL CLIENTE, COME DETTAGLIATO NELL'OFFERTA SOPRA CITATA.","","1.0","17567.0","17567.0","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","","","","","","","","",""
"01. Batch 1\7010155245\acq_all_oda\7010155245 0000283750 MATICMIND SPA 20211007_vC1.pdf","7010155245","701015524502","Contratto di fornitura di servizi di manutenzione TCI Cisco e servizi Imagicle per Marzotto Spa","networking","MATICMIND SPA","250387406080783","7010155245020001","SERVICE","COMMERCIALE SERV. SPEC. CISCO IMAGICLE 1Y X MARZOTTO SERVIZI DI MANUTENZIONE CON SUPPORTO SPECIALISTICO CISCO IMAGICLE PER LE SEDI DEL CLIENTE, COME DETTAGLIATO NELL'OFFERTA SOPRACITATA.","","1.0","9719.16","9719.16","False","","0.0","0.0","0.0","False","","True","5","9719.16","1943.832","SERVIZIO/PROFESSIONAL_SERVICES/SUPPORT","SERVIZIO","PROFESSIONAL_SERVICES","SUPPORT","HIGH","0.7934182324409484","intelligent_multi_step","2025-10-09T01:38:24.403836","SERVICE"
"01. Batch 1\7010155245\acq_all_oda\7010155245 0000283750 MATICMIND SPA 20211007_vC1.pdf","7010155245","701015524502","Contratto di fornitura di servizi di manutenzione TCI Cisco e servizi Imagicle per Marzotto Spa","networking","MATICMIND SPA","250387406080783","7010155245020002","SERVICE","COMMERCIALE MANUT. 1° ANNO X RETE CISCO MARZOTTO SERVIZI DI MANUTENZIONE TCI CISCO 1° ANNO, SUCCESSIVO ALL'ANNO DI GARANZIA, PER LE SEDI DEL CLIENTE, COME DETTAGLIATO NELL'OFFERTA SOPRA CITATA.","","1.0","13607.0","13607.0","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","SERVIZIO/PROFESSIONAL_SERVICES/SUPPORT","SERVIZIO","PROFESSIONAL_SERVICES","SUPPORT","MEDIUM","0.5868795728683471","intelligent_multi_step","2025-10-09T01:38:28.599624","SERVICE"
"01. Batch 1\7010158951\acq_all_oda\7010158951 0000345986 BETA 80 GROUP SRL 20191121_v1.pdf","7010158951","701015895101","Ordine di servizi professionali N° 7010158951 del 21.11.2019 per assistenza sistemistica a consumo.","IT","BETA 80 GROUP S.R.L.","70932316709617","7010158951010001","SERVICE","Servizi Professionali di assistenza sistemistica a consumo per Banca d'Italia, forniti in subappalto. Offerta BETA (1350 giornate x 350 costo giornaliero).","VAS-231019-102","1350.0","350.0","472500.0","False","","0.0","0.0","0.0","False","","True","6","472500.0","77085.98","SERVIZIO/PROFESSIONAL_SERVICES/SUPPORT","SERVIZIO","PROFESSIONAL_SERVICES","SUPPORT","MEDIUM","0.6394929876327514","intelligent_multi_step","2025-10-09T01:25:19.320457","SERVICE"
"01. Batch 1\7010158951\acq_all_oda\Offerta_RDA2100794130.pdf","7010158951","701015895102","Offerta per G006/18 - Servizi a consumo (ns. Rif. OFF#2018-1271 Rev. 0)","IT","BETA 80 GROUP S.R.L.","70932316709617","7010158951020001","SERVICE","Costi di sicurezza di carattere generale determinati per la fornitura dei servizi, inclusi nel corrispettivo complessivo dell'intera offerta.","","0.0","0.0","4500.0","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","SERVIZIO/MANAGED_SERVICES/SECURITY","SERVIZIO","MANAGED_SERVICES","SECURITY","MEDIUM","0.6366653404235839","deep_reclassification","2025-10-09T01:28:25.131019","SERVICE"
"01. Batch 1\7010161248\acq_all_oda\7010161248 0000201166 TT TECNOSISTEMI SPA 20200122_v1.pdf","7010161248","701016124801","Servizio di Manutenzione e Reperibilità dal 2020 al 2027 c/o il Cliente Finale ""Vimercate Gestione Salute VSG scarl""","networking","T.T. TECNOSISTEMI SPA","113481624145892","7010161248010001","SERVICE","CNA Manutenzione - anno 2020. Manutenzione / reperibilità relativa a Network BUNDLE HPe:NAC,wi-fi e Wired+server","","12.0","2204.16","26449.92","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","SERVIZIO/PROFESSIONAL_SERVICES/SUPPORT","SERVIZIO","PROFESSIONAL_SERVICES","SUPPORT","MEDIUM","0.7141322422027587","intelligent_multi_step","2025-10-09T01:41:24.909791","SERVICE"
"01. Batch 1\7010161248\acq_all_oda\7010161248 0000201166 TT TECNOSISTEMI SPA 20200122_v1.pdf","7010161248","701016124801","Servizio di Manutenzione e Reperibilità dal 2020 al 2027 c/o il Cliente Finale ""Vimercate Gestione Salute VSG scarl""","networking","T.T. TECNOSISTEMI SPA","113481624145892","7010161248010002","SERVICE","CNA Supporto copertura 6° anno","","12.0","3916.66","46999.92","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","SERVIZIO/PROFESSIONAL_SERVICES/SUPPORT","SERVIZIO","PROFESSIONAL_SERVICES","SUPPORT","MEDIUM","0.5903920984268188","intelligent_multi_step","2025-10-09T01:41:28.293336","SERVICE"
"01. Batch 1\7010161248\acq_all_oda\AnalisiOfferta_TT-TECNOSISTEMI_ClienteVGS.pdf","7010161248","701016124802","Fornitura in opera apparati HPE e relativa manut. c/o ""VSG scarl""","networking","","180126070764885","7010161248020001","SERVICE","Supporto di copertura per il 6° anno.","","0.0","0.0","47000.0","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","SERVIZIO/PROFESSIONAL_SERVICES/SUPPORT","SERVIZIO","PROFESSIONAL_SERVICES","SUPPORT","HIGH","0.8020503149032593","intelligent_multi_step","2025-10-09T01:28:01.992324","SERVICE"
"01. Batch 1\7010161248\acq_all_oda\AnalisiOfferta_TT-TECNOSISTEMI_ClienteVGS.pdf","7010161248","701016124802","Fornitura in opera apparati HPE e relativa manut. c/o ""VSG scarl""","networking","","180126070764885","7010161248020002","SERVICE","Servizi Professionali incluso smaltimento.","","0.0","0.0","179400.0","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","SERVIZIO/MANAGED_SERVICES/IT_OUTSOURCING","SERVIZIO","MANAGED_SERVICES","IT_OUTSOURCING","MEDIUM","0.7477723779678345","intelligent_multi_step","2025-10-09T01:28:07.874319","SERVICE"
"01. Batch 1\7010161248\acq_all_oda\AnalisiOfferta_TT-TECNOSISTEMI_ClienteVGS.pdf","7010161248","701016124802","Fornitura in opera apparati HPE e relativa manut. c/o ""VSG scarl""","networking","","180126070764885","7010161248020003","SERVICE","Manutenzione e Reperibilità.","","0.0","0.0","211600.0","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","SERVIZIO/MANAGED_SERVICES/INFRASTRUCTURE","SERVIZIO","MANAGED_SERVICES","INFRASTRUCTURE","HIGH","0.8370194568634033","intelligent_multi_step","2025-10-09T01:28:11.318427","SERVICE"
"01. Batch 1\7010161248\acq_all_oda\AnalisiOfferta_TT-TECNOSISTEMI_ClienteVGS.pdf","7010161248","701016124802","Fornitura in opera apparati HPE e relativa manut. c/o ""VSG scarl""","networking","","180126070764885","7010161248020004","HARDWARE","Network BUNDLE HPe versione ""modular"".","","0.0","0.0","797900.0","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","HW/NETWORKING/SWITCHES","HW","NETWORKING","SWITCHES","HIGH","0.9134529938697816","intelligent_multi_step","2025-10-09T01:28:14.776998","HARDWARE"
"01. Batch 1\7010161784\acq_all_oda\7010161784 0000283750 MATICMIND SPA 20200204_v1.pdf","7010161784","701016178401","Ordine di fornitura per servizi di co-sourcing e assessment multi-annuali","IT","MATICMIND SPA","250387406080783","7010161784010001","SERVICE","Servizi di assessment periodico su rete Networking di DC con produzione HLD e LLD - 1° anno","VAS-270120-70","1.0","15000.0","15000.0","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","SERVIZIO/INFRASTRUCTURE_SERVICES/INSTALLATION","SERVIZIO","INFRASTRUCTURE_SERVICES","INSTALLATION","MEDIUM","0.7218251030445099","intelligent_multi_step","2025-10-09T01:26:46.853142","SERVICE"
"01. Batch 1\7010161784\acq_all_oda\7010161784 0000283750 MATICMIND SPA 20200204_v1.pdf","7010161784","701016178401","Ordine di fornitura per servizi di co-sourcing e assessment multi-annuali","IT","MATICMIND SPA","250387406080783","7010161784010002","SERVICE","Servizio di SUPPORTO DI 2 LIVELLO IN AMBITO CO-SOURCING - manutenzione - 1° anno x BPS per BANCA POPOLARE DI SONDRIO SOC.COOP. PER AZ.","VAS-270120-70","1.0","16488.87","16488.87","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","","","","","","","","",""
"01. Batch 1\7010161964\acq_all_oda\20.PSH.000443.00.pdf","7010161964","701016196401","Servizio di manutenzione dell'infrastruttura di Fonia installata presso il presidio ospedaliero di Vimercate - ASST Vimercate","telecomunicazioni","Lutech","228961212086989","7010161964010001","SERVICE","Servizio di manutenzione dell'infrastruttura di Fonia presso presidio ospedaliero di Vimercate - Anno 2020","","1.0","31560.0","31560.0","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","SERVIZIO/PROFESSIONAL_SERVICES/SUPPORT","SERVIZIO","PROFESSIONAL_SERVICES","SUPPORT","MEDIUM","0.7292323398590087","intelligent_multi_step","2025-10-09T01:31:02.223926","SERVICE"
"01. Batch 1\7010161964\acq_all_oda\RiepilogoEconomico_Storico_A94400_RFI_5061.pdf","7010161964","701016196402","Fornitura in opera apparati CISCO e relativa manutenzione c/o il Cliente ""Vimercate Salute e Gestione - VSG scarl""","networking","LUTECH","228961212086989","7010161964020001","SERVICE","Ritiro e smaltimento - Offerta rivista","","0.0","0.0","12000.0","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","SERVIZIO/PROFESSIONAL_SERVICES/SUPPORT","SERVIZIO","PROFESSIONAL_SERVICES","SUPPORT","HIGH","0.7661929802894593","intelligent_multi_step","2025-10-09T01:31:05.394983","SERVICE"
"01. Batch 1\7010161964\acq_all_oda\RiepilogoEconomico_Storico_A94400_RFI_5061.pdf","7010161964","701016196402","Fornitura in opera apparati CISCO e relativa manutenzione c/o il Cliente ""Vimercate Salute e Gestione - VSG scarl""","networking","LUTECH","228961212086989","7010161964020002","SERVICE","delta incrementale per var. cambio","","0.0","0.0","29281.3","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","SERVIZIO/PROFESSIONAL_SERVICES/SUPPORT","SERVIZIO","PROFESSIONAL_SERVICES","SUPPORT","MEDIUM","0.6498569180965423","intelligent_multi_step","2025-10-09T01:31:08.242455","SERVICE"
"01. Batch 1\7010161964\acq_all_oda\RiepilogoEconomico_Storico_A94400_RFI_5061.pdf","7010161964","701016196402","Fornitura in opera apparati CISCO e relativa manutenzione c/o il Cliente ""Vimercate Salute e Gestione - VSG scarl""","networking","LUTECH","228961212086989","7010161964020003","SERVICE","Servizi Professionali VOCE","","0.0","0.0","48500.0","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","SERVIZIO/PROFESSIONAL_SERVICES/SUPPORT","SERVIZIO","PROFESSIONAL_SERVICES","SUPPORT","MEDIUM","0.6763322119712829","intelligent_multi_step","2025-10-09T01:31:11.665778","SERVICE"
"01. Batch 1\7010161964\acq_all_oda\RiepilogoEconomico_Storico_A94400_RFI_5061.pdf","7010161964","701016196402","Fornitura in opera apparati CISCO e relativa manutenzione c/o il Cliente ""Vimercate Salute e Gestione - VSG scarl""","networking","LUTECH","228961212086989","7010161964020004","HARDWARE","ESTENSIONE FORNITURA RETE - Offerta rivista","","0.0","0.0","77498.0","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","HW/NETWORKING/SECURITY","HW","NETWORKING","SECURITY","HIGH","0.8678959503173829","intelligent_multi_step","2025-10-09T01:31:15.352507","HARDWARE"
"01. Batch 1\7010161964\acq_all_oda\RiepilogoEconomico_Storico_A94400_RFI_5061.pdf","7010161964","701016196402","Fornitura in opera apparati CISCO e relativa manutenzione c/o il Cliente ""Vimercate Salute e Gestione - VSG scarl""","networking","LUTECH","228961212086989","7010161964020005","HARDWARE","ESTENSIONE FORNITURA FONIA - Offerta rivista","","0.0","0.0","98000.0","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","SERVIZIO/PROFESSIONAL_SERVICES/TELEPHONY","SERVIZIO","PROFESSIONAL_SERVICES","TELEPHONY","MEDIUM","0.623","intelligent_multi_step","2025-10-09T01:31:18.871258","HARDWARE"
"01. Batch 1\7010161964\acq_all_oda\RiepilogoEconomico_Storico_A94400_RFI_5061.pdf","7010161964","701016196402","Fornitura in opera apparati CISCO e relativa manutenzione c/o il Cliente ""Vimercate Salute e Gestione - VSG scarl""","networking","LUTECH","228961212086989","7010161964020006","SERVICE","Servizi professionali - Offerta rivista","","0.0","0.0","135400.0","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","SERVIZIO/PROFESSIONAL_SERVICES/SUPPORT","SERVIZIO","PROFESSIONAL_SERVICES","SUPPORT","HIGH","0.7753348970413207","intelligent_multi_step","2025-10-09T01:31:22.668059","SERVICE"
"01. Batch 1\7010161964\acq_all_oda\RiepilogoEconomico_Storico_A94400_RFI_5061.pdf","7010161964","701016196402","Fornitura in opera apparati CISCO e relativa manutenzione c/o il Cliente ""Vimercate Salute e Gestione - VSG scarl""","networking","LUTECH","228961212086989","7010161964020007","SERVICE","Offerta migliorativa pubblicata in RevolAuction (Y)","","0.0","0.0","252480.0","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","SERVIZIO/PROFESSIONAL_SERVICES/SUPPORT","SERVIZIO","PROFESSIONAL_SERVICES","SUPPORT","HIGH","0.8204700350761414","intelligent_multi_step","2025-10-09T01:31:25.365214","SERVICE"
"01. Batch 1\7010161964\acq_all_oda\RiepilogoEconomico_Storico_A94400_RFI_5061.pdf","7010161964","701016196402","Fornitura in opera apparati CISCO e relativa manutenzione c/o il Cliente ""Vimercate Salute e Gestione - VSG scarl""","networking","LUTECH","228961212086989","7010161964020008","SERVICE","Manutenzione VOCE","","0.0","0.0","260000.0","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","SERVIZIO/PROFESSIONAL_SERVICES/SUPPORT","SERVIZIO","PROFESSIONAL_SERVICES","SUPPORT","HIGH","0.7793316640853881","intelligent_multi_step","2025-10-09T01:31:27.951587","SERVICE"
"01. Batch 1\7010161964\acq_all_oda\RiepilogoEconomico_Storico_A94400_RFI_5061.pdf","7010161964","701016196402","Fornitura in opera apparati CISCO e relativa manutenzione c/o il Cliente ""Vimercate Salute e Gestione - VSG scarl""","networking","LUTECH","228961212086989","7010161964020009","SERVICE","delta incrementale per parti aggiuntive","","0.0","0.0","348234.0","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","SERVIZIO/PROFESSIONAL_SERVICES/SUPPORT","SERVIZIO","PROFESSIONAL_SERVICES","SUPPORT","MEDIUM","0.7150053906440734","intelligent_multi_step","2025-10-09T01:31:31.459481","SERVICE"
"01. Batch 1\7010161964\acq_all_oda\RiepilogoEconomico_Storico_A94400_RFI_5061.pdf","7010161964","701016196402","Fornitura in opera apparati CISCO e relativa manutenzione c/o il Cliente ""Vimercate Salute e Gestione - VSG scarl""","networking","LUTECH","228961212086989","7010161964020010","HARDWARE","FORNITURA FONIA BASE - Aggiornamento 6/6","","0.0","0.0","383927.32","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","SERVIZIO/TELECOM/FONIA_BASE","SERVIZIO","TELECOM","FONIA_BASE","MEDIUM","0.6509999999999999","intelligent_multi_step","2025-10-09T01:31:34.413004","HARDWARE"
"01. Batch 1\7010161964\acq_all_oda\RiepilogoEconomico_Storico_A94400_RFI_5061.pdf","7010161964","701016196402","Fornitura in opera apparati CISCO e relativa manutenzione c/o il Cliente ""Vimercate Salute e Gestione - VSG scarl""","networking","LUTECH","228961212086989","7010161964020011","HARDWARE","Materiale VOCE al netto Lic. Sparkle","","0.0","0.0","442368.38","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","HW/TELEPHONY/PBX","HW","TELEPHONY","PBX","MEDIUM","0.6143545351028442","deep_reclassification","2025-10-09T01:31:37.416979","HARDWARE"
"01. Batch 1\7010161964\acq_all_oda\RiepilogoEconomico_Storico_A94400_RFI_5061.pdf","7010161964","701016196402","Fornitura in opera apparati CISCO e relativa manutenzione c/o il Cliente ""Vimercate Salute e Gestione - VSG scarl""","networking","LUTECH","228961212086989","7010161964020012","HARDWARE","FORNITURA FONIA BASE - Aggiornamento del 1/8","","0.0","0.0","489096.38","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","","","","","","","","",""
"01. Batch 1\7010161964\acq_all_oda\RiepilogoEconomico_Storico_A94400_RFI_5061.pdf","7010161964","701016196402","Fornitura in opera apparati CISCO e relativa manutenzione c/o il Cliente ""Vimercate Salute e Gestione - VSG scarl""","networking","LUTECH","228961212086989","7010161964020013","SERVICE","Servizio di manutenzione 8 anni - Aggiornamento 6/6","","0.0","0.0","518208.0","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","SERVIZIO/PROFESSIONAL_SERVICES/SUPPORT","SERVIZIO","PROFESSIONAL_SERVICES","SUPPORT","MEDIUM","0.7218513827323912","intelligent_multi_step","2025-10-09T01:31:40.323074","SERVICE"
"01. Batch 1\7010161964\acq_all_oda\RiepilogoEconomico_Storico_A94400_RFI_5061.pdf","7010161964","701016196402","Fornitura in opera apparati CISCO e relativa manutenzione c/o il Cliente ""Vimercate Salute e Gestione - VSG scarl""","networking","LUTECH","228961212086989","7010161964020014","SERVICE","Servizio di manutenzione 8 anni - Offerta rivista","","0.0","0.0","690944.0","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","SERVIZIO/PROFESSIONAL_SERVICES/SUPPORT","SERVIZIO","PROFESSIONAL_SERVICES","SUPPORT","MEDIUM","0.7199477117061615","intelligent_multi_step","2025-10-09T01:31:43.313043","SERVICE"
"01. Batch 1\7010161964\acq_all_oda\RiepilogoEconomico_Storico_A94400_RFI_5061.pdf","7010161964","701016196402","Fornitura in opera apparati CISCO e relativa manutenzione c/o il Cliente ""Vimercate Salute e Gestione - VSG scarl""","networking","LUTECH","228961212086989","7010161964020015","HARDWARE","FORNITURA RETE BASE - Aggiornamento 6/6","","0.0","0.0","945072.68","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","HW/NETWORKING/SECURITY","HW","NETWORKING","SECURITY","HIGH","0.8510345935821533","intelligent_multi_step","2025-10-09T01:31:46.794640","HARDWARE"
"01. Batch 1\7010161964\acq_all_oda\RiepilogoEconomico_Storico_A94400_RFI_5061.pdf","7010161964","701016196402","Fornitura in opera apparati CISCO e relativa manutenzione c/o il Cliente ""Vimercate Salute e Gestione - VSG scarl""","networking","LUTECH","228961212086989","7010161964020016","HARDWARE","FORNITURA RETE BASE - Aggiornamento del 1/8","","0.0","0.0","1044682.92","False","","0.0","0.0","0.0","False","","False","0","0.0","0.0","","","","","","","","",""
